Товар;Единица измерения;Вес ЕдИзм(Кг);Группа товаров;Количество;Цена;Предоплата;Продавец;Город;Банк
Сигареты Fine Line;Блок;0,2;Табачные изделия;16;180,32;0,5;Гермес;Ангарск;Богатырский
Сигареты LM;Блок;0,2;Табачные изделия;11;62,47;0,5;Гермес;Ангарск;Богатырский
Гречка;Мешок;50;Крупы;86;391,24;0,3;Фокус;Слюдянка;Надежный
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;44;90,76;0,3;Фокус;Слюдянка;Надежный
Крупа перловая;Мешок;50;Крупы;18;238,11;0,3;Фокус;Слюдянка;Надежный
Овсянка;Мешок;20;Крупы;27;506,22;0,3;Фокус;Слюдянка;Надежный
Пшено;Мешок;50;Крупы;7;178,04;0,3;Фокус;Слюдянка;Надежный
Рис;Мешок;50;Крупы;9;270,87;0,3;Фокус;Слюдянка;Надежный
Сигареты LM;Блок;0,2;Табачные изделия;5;68,26;0,3;Фокус;Слюдянка;Надежный
Сигареты Петр 1;Блок;0,2;Табачные изделия;18;50,02;0,3;Фокус;Слюдянка;Надежный
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;10;63,06;0,2;Фокус;Слюдянка;Надежный
Крупа перловая;Мешок;50;Крупы;33;226,27;0,2;Фокус;Слюдянка;Надежный
Овсянка;Мешок;20;Крупы;92;243,62;0,2;Фокус;Слюдянка;Надежный
Пшено;Мешок;50;Крупы;28;237,07;0,2;Фокус;Слюдянка;Надежный
Сигареты LM;Блок;0,2;Табачные изделия;53;151,97;0,2;Фокус;Слюдянка;Надежный
Сигареты Петр 1;Блок;0,2;Табачные изделия;5;66,65;0,2;Фокус;Слюдянка;Надежный
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;18;55,42;0,7;Фокус;Слюдянка;Надежный
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;11;27,31;0,7;Фокус;Слюдянка;Надежный
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;5;75,24;0,7;Фокус;Слюдянка;Надежный
Крупа манная;Мешок;50;Крупы;12;304,79;0,7;Фокус;Слюдянка;Надежный
Овсянка;Мешок;20;Крупы;50;329,05;0,7;Фокус;Слюдянка;Надежный
Пшено;Мешок;50;Крупы;188;283,93;0,7;Фокус;Слюдянка;Надежный
Сигареты Fine Line;Блок;0,2;Табачные изделия;184;103,95;0,7;Фокус;Слюдянка;Надежный
Сигареты LM;Блок;0,2;Табачные изделия;23;121,27;0,7;Фокус;Слюдянка;Надежный
Сигареты MarlBoro;Блок;0,2;Табачные изделия;104;212,1;0,7;Фокус;Слюдянка;Надежный
Сигареты Петр 1;Блок;0,2;Табачные изделия;35;49,82;0,7;Фокус;Слюдянка;Надежный
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;91;22,38;0,7;Фокус;Слюдянка;Надежный
Крупа манная;Мешок;50;Крупы;16;305,21;0,7;Фокус;Слюдянка;Надежный
Крупа перловая;Мешок;50;Крупы;150;312,33;0,7;Фокус;Слюдянка;Надежный
Пшено;Мешок;50;Крупы;44;354,35;0,7;Фокус;Слюдянка;Надежный
Сигареты Петр 1;Блок;0,2;Табачные изделия;7;49,36;0,7;Фокус;Слюдянка;Надежный
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;14;33,88;0,3;Фокус;Слюдянка;Надежный
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;5;9,14;0,3;Фокус;Слюдянка;Надежный
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;7;88,64;0,3;Фокус;Слюдянка;Надежный
Пшено;Мешок;50;Крупы;66;230,34;0,3;Фокус;Слюдянка;Надежный
Сигареты Fine Line;Блок;0,2;Табачные изделия;18;215,61;0,3;Фокус;Слюдянка;Надежный
Сигареты MarlBoro;Блок;0,2;Табачные изделия;29;85,02;0,3;Фокус;Слюдянка;Надежный
Сигареты Петр 1;Блок;0,2;Табачные изделия;7;46,93;0,3;Фокус;Слюдянка;Надежный
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;18;50,99;0,5;Фокус;Слюдянка;Надежный
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;9;37,37;0,5;Фокус;Слюдянка;Надежный
Крупа манная;Мешок;50;Крупы;19;437,12;0,5;Фокус;Слюдянка;Надежный
Крупа перловая;Мешок;50;Крупы;11;367,07;0,5;Фокус;Слюдянка;Надежный
Пшено;Мешок;50;Крупы;82;275,39;0,5;Фокус;Слюдянка;Надежный
Сигареты Fine Line;Блок;0,2;Табачные изделия;12;87,09;0,5;Фокус;Слюдянка;Надежный
Сигареты MarlBoro;Блок;0,2;Табачные изделия;36;79,1;0,5;Фокус;Слюдянка;Надежный
Гречка;Мешок;50;Крупы;33;324,41;0,6;Фокус;Слюдянка;Надежный
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;116;31,95;0,6;Фокус;Слюдянка;Надежный
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;13;53,51;0,6;Фокус;Слюдянка;Надежный
Крупа манная;Мешок;50;Крупы;36;527,12;0,6;Фокус;Слюдянка;Надежный
Овсянка;Мешок;20;Крупы;5;377,51;0,6;Фокус;Слюдянка;Надежный
Пшено;Мешок;50;Крупы;32;193,06;0,6;Фокус;Слюдянка;Надежный
Сигареты Fine Line;Блок;0,2;Табачные изделия;5;154,55;0,6;Фокус;Слюдянка;Надежный
Сигареты LM;Блок;0,2;Табачные изделия;53;93,29;0,6;Фокус;Слюдянка;Надежный
Сигареты Петр 1;Блок;0,2;Табачные изделия;5;70,66;0,6;Фокус;Слюдянка;Надежный
Гречка;Мешок;50;Крупы;43;252,88;0,4;Фокус;Слюдянка;Надежный
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;100;25,82;0,4;Фокус;Слюдянка;Надежный
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;25;67,49;0,4;Фокус;Слюдянка;Надежный
Крупа манная;Мешок;50;Крупы;23;530,82;0,4;Фокус;Слюдянка;Надежный
Овсянка;Мешок;20;Крупы;10;465,16;0,4;Фокус;Слюдянка;Надежный
Сигареты MarlBoro;Блок;0,2;Табачные изделия;85;180;0,4;Фокус;Слюдянка;Надежный
Гречка;Мешок;50;Крупы;41;320,35;0,4;Геракл;Иркутск;Универсал
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;27;57,81;0,4;Геракл;Иркутск;Универсал
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;16;27,31;0,4;Геракл;Иркутск;Универсал
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;64;59,28;0,4;Геракл;Иркутск;Универсал
Крупа манная;Мешок;50;Крупы;21;226,3;0,4;Геракл;Иркутск;Универсал
Крупа перловая;Мешок;50;Крупы;34;253,4;0,4;Геракл;Иркутск;Универсал
Рис;Мешок;50;Крупы;14;333,35;0,4;Геракл;Иркутск;Универсал
Сигареты MarlBoro;Блок;0,2;Табачные изделия;33;139,91;0,4;Геракл;Иркутск;Универсал
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;22;26,82;1;Геракл;Иркутск;Универсал
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;15;24,97;1;Геракл;Иркутск;Универсал
Крупа перловая;Мешок;50;Крупы;13;248,47;1;Геракл;Иркутск;Универсал
Овсянка;Мешок;20;Крупы;8;185,18;1;Геракл;Иркутск;Универсал
Пшено;Мешок;50;Крупы;24;386,98;1;Геракл;Иркутск;Универсал
Сигареты Fine Line;Блок;0,2;Табачные изделия;96;117,23;1;Геракл;Иркутск;Универсал
Сигареты Петр 1;Блок;0,2;Табачные изделия;115;51,99;1;Геракл;Иркутск;Универсал
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;16;28,22;0,2;Геракл;Иркутск;Универсал
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;6;56,14;0,2;Геракл;Иркутск;Универсал
Крупа манная;Мешок;50;Крупы;69;511,51;0,2;Геракл;Иркутск;Универсал
Пшено;Мешок;50;Крупы;10;364,97;0,2;Геракл;Иркутск;Универсал
Рис;Мешок;50;Крупы;263;437,26;0,2;Геракл;Иркутск;Универсал
Сигареты Fine Line;Блок;0,2;Табачные изделия;103;166,11;0,2;Геракл;Иркутск;Универсал
Сигареты Петр 1;Блок;0,2;Табачные изделия;12;81,84;0,2;Геракл;Иркутск;Универсал
Гречка;Мешок;50;Крупы;19;316,6;0,7;Геракл;Иркутск;Универсал
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;22;47,95;0,7;Геракл;Иркутск;Универсал
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;14;33,88;0,7;Геракл;Иркутск;Универсал
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;110;24,59;0,7;Геракл;Иркутск;Универсал
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;170;43,32;0,7;Геракл;Иркутск;Универсал
Крупа манная;Мешок;50;Крупы;35;218,49;0,7;Геракл;Иркутск;Универсал
Овсянка;Мешок;20;Крупы;100;279,86;0,7;Геракл;Иркутск;Универсал
Пшено;Мешок;50;Крупы;183;333,64;0,7;Геракл;Иркутск;Универсал
Сигареты MarlBoro;Блок;0,2;Табачные изделия;287;172,45;0,7;Геракл;Иркутск;Универсал
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;20;23,21;0,4;Геракл;Иркутск;Универсал
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;16;48,48;0,4;Геракл;Иркутск;Универсал
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;33;18,33;0,4;Геракл;Иркутск;Универсал
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;19;73,45;0,4;Геракл;Иркутск;Универсал
Крупа перловая;Мешок;50;Крупы;19;141,45;0,4;Геракл;Иркутск;Универсал
Сигареты MarlBoro;Блок;0,2;Табачные изделия;25;198,79;0,4;Геракл;Иркутск;Универсал
Сигареты Петр 1;Блок;0,2;Табачные изделия;12;37,72;0,4;Геракл;Иркутск;Универсал
Гречка;Мешок;50;Крупы;11;375,32;0,8;Геракл;Иркутск;Универсал
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;8;19,7;0,8;Геракл;Иркутск;Универсал
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;140;45,37;0,8;Геракл;Иркутск;Универсал
Крупа перловая;Мешок;50;Крупы;103;277,07;0,8;Геракл;Иркутск;Универсал
Пшено;Мешок;50;Крупы;19;311,12;0,8;Геракл;Иркутск;Универсал
Сигареты Fine Line;Блок;0,2;Табачные изделия;24;113,79;0,8;Геракл;Иркутск;Универсал
Сигареты MarlBoro;Блок;0,2;Табачные изделия;9;128,22;0,8;Геракл;Иркутск;Универсал
Сигареты Петр 1;Блок;0,2;Табачные изделия;13;94,86;0,8;Геракл;Иркутск;Универсал
Гречка;Мешок;50;Крупы;54;247,88;0,2;Геракл;Иркутск;Универсал
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;15;12,65;0,2;Геракл;Иркутск;Универсал
Крупа манная;Мешок;50;Крупы;24;559,18;0,2;Геракл;Иркутск;Универсал
Крупа перловая;Мешок;50;Крупы;21;287,42;0,2;Геракл;Иркутск;Универсал
Пшено;Мешок;50;Крупы;294;301,8;0,2;Геракл;Иркутск;Универсал
Рис;Мешок;50;Крупы;30;461,77;0,2;Геракл;Иркутск;Универсал
Сигареты Fine Line;Блок;0,2;Табачные изделия;14;213,74;0,2;Геракл;Иркутск;Универсал
Сигареты LM;Блок;0,2;Табачные изделия;46;107,1;0,2;Геракл;Иркутск;Универсал
Сигареты MarlBoro;Блок;0,2;Табачные изделия;9;136,65;0,2;Геракл;Иркутск;Универсал
Гречка;Мешок;50;Крупы;7;431,85;1;Геракл;Иркутск;Универсал
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;54;25,71;1;Геракл;Иркутск;Универсал
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;16;49,27;1;Геракл;Иркутск;Универсал
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;37;34,08;1;Геракл;Иркутск;Универсал
Крупа манная;Мешок;50;Крупы;152;266,16;1;Геракл;Иркутск;Универсал
Крупа перловая;Мешок;50;Крупы;8;183,86;1;Геракл;Иркутск;Универсал
Овсянка;Мешок;20;Крупы;12;407,1;1;Геракл;Иркутск;Универсал
Сигареты Fine Line;Блок;0,2;Табачные изделия;47;110,04;1;Геракл;Иркутск;Универсал
Сигареты LM;Блок;0,2;Табачные изделия;201;95,14;1;Геракл;Иркутск;Универсал
Гречка;Мешок;50;Крупы;276;463,39;0,9;Геракл;Иркутск;Универсал
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;22;46,18;0,9;Геракл;Иркутск;Универсал
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;98;30,17;0,9;Геракл;Иркутск;Универсал
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;23;93,45;0,9;Геракл;Иркутск;Универсал
Овсянка;Мешок;20;Крупы;8;529,52;0,9;Геракл;Иркутск;Универсал
Рис;Мешок;50;Крупы;263;272,94;0,9;Геракл;Иркутск;Универсал
Сигареты Fine Line;Блок;0,2;Табачные изделия;36;185,94;0,9;Геракл;Иркутск;Универсал
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;10;52,14;0,1;Геракл;Иркутск;Универсал
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;76;91,53;0,1;Геракл;Иркутск;Универсал
Крупа манная;Мешок;50;Крупы;64;356,99;0,1;Геракл;Иркутск;Универсал
Овсянка;Мешок;20;Крупы;21;523,6;0,1;Геракл;Иркутск;Универсал
Сигареты LM;Блок;0,2;Табачные изделия;21;68,75;0,1;Геракл;Иркутск;Универсал
Сигареты MarlBoro;Блок;0,2;Табачные изделия;23;92,27;0,1;Геракл;Иркутск;Универсал
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;31;36,81;0,8;Геракл;Иркутск;Универсал
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;15;80,24;0,8;Геракл;Иркутск;Универсал
Рис;Мешок;50;Крупы;24;299,87;0,8;Геракл;Иркутск;Универсал
Сигареты Fine Line;Блок;0,2;Табачные изделия;31;91,62;0,8;Геракл;Иркутск;Универсал
Сигареты LM;Блок;0,2;Табачные изделия;54;64,93;0,8;Геракл;Иркутск;Универсал
Сигареты MarlBoro;Блок;0,2;Табачные изделия;13;169,5;0,8;Геракл;Иркутск;Универсал
Сигареты Петр 1;Блок;0,2;Табачные изделия;45;34,63;0,8;Геракл;Иркутск;Универсал
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;5;47,08;1;Геракл;Иркутск;Универсал
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;19;20,5;1;Геракл;Иркутск;Универсал
Овсянка;Мешок;20;Крупы;19;345,7;1;Геракл;Иркутск;Универсал
Рис;Мешок;50;Крупы;63;389,62;1;Геракл;Иркутск;Универсал
Сигареты Fine Line;Блок;0,2;Табачные изделия;46;188,28;1;Геракл;Иркутск;Универсал
Сигареты Петр 1;Блок;0,2;Табачные изделия;15;67,77;1;Геракл;Иркутск;Универсал
Гречка;Мешок;50;Крупы;97;332,21;0,9;Геракл;Иркутск;Универсал
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;18;28,51;0,9;Геракл;Иркутск;Универсал
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;18;25,38;0,9;Геракл;Иркутск;Универсал
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;21;48,77;0,9;Геракл;Иркутск;Универсал
Крупа манная;Мешок;50;Крупы;18;470,82;0,9;Геракл;Иркутск;Универсал
Крупа перловая;Мешок;50;Крупы;46;259,56;0,9;Геракл;Иркутск;Универсал
Сигареты LM;Блок;0,2;Табачные изделия;267;173,42;0,9;Геракл;Иркутск;Универсал
Гречка;Мешок;50;Крупы;155;424,98;0,4;Плюс;Ангарск;Надежный
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;23;41,95;0,4;Плюс;Ангарск;Надежный
Крупа манная;Мешок;50;Крупы;11;595,75;0,4;Плюс;Ангарск;Надежный
Крупа перловая;Мешок;50;Крупы;13;301,23;0,4;Плюс;Ангарск;Надежный
Овсянка;Мешок;20;Крупы;22;216,25;0,4;Плюс;Ангарск;Надежный
Пшено;Мешок;50;Крупы;29;224,9;0,4;Плюс;Ангарск;Надежный
Рис;Мешок;50;Крупы;24;303,32;0,4;Плюс;Ангарск;Надежный
Сигареты Fine Line;Блок;0,2;Табачные изделия;22;167,2;0,4;Плюс;Ангарск;Надежный
Сигареты LM;Блок;0,2;Табачные изделия;30;63,21;0,4;Плюс;Ангарск;Надежный
Сигареты MarlBoro;Блок;0,2;Табачные изделия;127;111,95;0,4;Плюс;Ангарск;Надежный
Сигареты Петр 1;Блок;0,2;Табачные изделия;6;48,77;0,4;Плюс;Ангарск;Надежный
Гречка;Мешок;50;Крупы;37;407,8;0,7;Плюс;Ангарск;Надежный
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;23;28,75;0,7;Плюс;Ангарск;Надежный
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;17;33,88;0,7;Плюс;Ангарск;Надежный
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;5;25,94;0,7;Плюс;Ангарск;Надежный
Овсянка;Мешок;20;Крупы;72;228,82;0,7;Плюс;Ангарск;Надежный
Пшено;Мешок;50;Крупы;20;311,12;0,7;Плюс;Ангарск;Надежный
Сигареты Fine Line;Блок;0,2;Табачные изделия;93;101,14;0,7;Плюс;Ангарск;Надежный
Гречка;Мешок;50;Крупы;6;186,04;1;Плюс;Ангарск;Надежный
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;34;49,88;1;Плюс;Ангарск;Надежный
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;65;23,66;1;Плюс;Ангарск;Надежный
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;17;22;1;Плюс;Ангарск;Надежный
Рис;Мешок;50;Крупы;29;251,54;1;Плюс;Ангарск;Надежный
Сигареты Петр 1;Блок;0,2;Табачные изделия;9;56,13;1;Плюс;Ангарск;Надежный
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;197;27,97;0,2;Плюс;Ангарск;Надежный
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;26;40,89;0,2;Плюс;Ангарск;Надежный
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;34;21,53;0,2;Плюс;Ангарск;Надежный
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;16;73,32;0,2;Плюс;Ангарск;Надежный
Крупа манная;Мешок;50;Крупы;24;239,45;0,2;Плюс;Ангарск;Надежный
Пшено;Мешок;50;Крупы;29;272,28;0,2;Плюс;Ангарск;Надежный
Рис;Мешок;50;Крупы;93;469,36;0,2;Плюс;Ангарск;Надежный
Сигареты Fine Line;Блок;0,2;Табачные изделия;19;118,79;0,2;Плюс;Ангарск;Надежный
Сигареты MarlBoro;Блок;0,2;Табачные изделия;17;128,52;0,2;Плюс;Ангарск;Надежный
Сигареты Петр 1;Блок;0,2;Табачные изделия;236;96,83;0,2;Плюс;Ангарск;Надежный
